수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-21,전체,52,VT,[1등모공에센스] VT 리들샷 100 에센스 30ml 더블 기획(+피디알엔 에센스 100 1.5ml*3ea),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232212,31500,22000,30.2,50280,4.8,88,8,3,0,1,1,0,0,1,A000000232212,ALL
2026-07-21,전체,53,뮤드,[7월 올영픽/마찌콜라보] 뮤드 스키니컬링/멀티픽서 마스카라 (단품/ 1+1 기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182700,14000,11970,14.5,24955,4.8,84,11,4,1,1,1,0,1,1,A000000182700,ALL
2026-07-21,전체,54,비디비치,[7월올영픽/리퀴드블러시 증정] 비디비치 블랙 퍼펙션 커버 핏 쿠션,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233171,46000,36800,20.0,7456,4.7,83,11,4,1,1,1,1,1,1,A000000233171,ALL
2026-07-21,전체,55,에이페,[2주완성탈모앰플] 에이페 스칼프부스팅 앰플 (대용량 두피앰플) 150ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246985,29800,27500,7.7,1952,4.9,95,3,1,0,0,1,0,0,1,A000000246985,ALL
2026-07-21,전체,56,쏘내추럴,[1위픽서] 쏘내추럴 올 데이 타이트 메이크업 세팅 픽서 120ml 더블기획 (120ml+120ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162114,42000,31900,24.0,49698,4.8,84,12,4,1,0,1,1,0,1,A000000162114,ALL
2026-07-21,전체,57,리터니티,[원조율무팩] 리터니티 율무 요철모공 팩 120g 기획세트,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198780,34000,23000,32.4,4190,4.7,80,14,4,1,1,1,1,0,1,A000000198780,ALL
2026-07-21,전체,58,닥터지,[7월올영픽] 닥터지 레드블레미쉬 클리어 수딩크림 EX 70ml기획 (+30ml+세럼10ml*2ea),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255752,38000,26600,30.0,2575,5.0,98,1,0,0,0,1,0,0,1,A000000255752,ALL
2026-07-21,전체,59,좋은느낌,2026 좋은느낌 썸머 입는오버나이트 M/L 4P,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255428,9000,6000,33.3,553,4.9,92,6,2,0,0,0,1,1,1,A000000255428,ALL
2026-07-21,전체,60,바닐라코,[7월올영픽/초경량커버] 바닐라코 얼티밋 화이트 쿠션 에어 기획(본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254892,38000,29600,22.1,1215,4.8,89,7,2,1,1,1,0,1,1,A000000254892,ALL
2026-07-21,전체,61,바이오더마,바이오더마 센시비오 H2O 850ml(클렌징워터),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319,37500,25900,30.9,52020,4.9,91,7,1,0,0,1,0,1,1,A000000130319,ALL
